Date,Type
5/11/2020,R
3/19/2020,P
3/20/2020,P
5/12/2020,R
4/29/2020,R
4/29/2020,R
5/3/2020,R
9/15/2018,R
5/4/2020,R
4/30/2020,P
4/14/2020,P
5/1/2020,P
5/1/2020,P
4/20/2020,P
4/3/2020,R
4/24/2020,R
3/10/2020,R
4/18/2020,P
4/21/2020,P
4/20/2020,R
4/19/2020,R
4/8/2020,P
4/16/2020,P
5/28/2019,P
4/14/2020,P
4/11/2020,P
4/13/2020,R
4/11/2020,R
4/12/2020,R
4/3/2020,R
4/10/2020,R
2/7/2020,P
4/10/2020,R
4/8/2020,R
4/9/2020,R
4/7/2020,P
4/3/2020,R
4/5/2020,R
3/29/2020,P
4/4/2020,R
1/12/2020,R
4/2/2020,R
3/30/2020,R
3/31/2020,R
3/31/2020,R
3/19/2020,P
3/29/2020,R
3/29/2020,R
3/24/2020,R
3/16/2020,R
3/20/2020,R
3/24/2020,R
3/19/2020,R
3/8/2020,P
3/17/2020,P
3/17/2020,R
3/16/2020,R
3/14/2020,P
3/10/2020,R
3/7/2020,P
1/7/2020,R
3/6/2020,R
3/7/2020,P
2/6/2020,R
2/26/2020,R
3/6/2020,P
3/4/2020,P
3/4/2020,P
1/17/2020,P
3/3/2020,R
3/2/2020,P
3/3/2020,P
2/27/2020,R
2/28/2020,R
2/25/2020,R
2/18/2020,R
2/21/2020,R
2/21/2020,R
2/21/2020,R
8/1/2019,R
2/12/2020,P
2/20/2020,R
2/19/2020,R
2/19/2020,R
2/19/2020,R
2/18/2020,R
2/15/2020,R
2/18/2020,R
2/18/2020,P
2/18/2020,R
1/16/2020,R
2/17/2020,R
2/10/2020,R
2/16/2020,P
2/14/2020,P
2/13/2020,R
2/14/2020,R
2/15/2020,R
2/14/2020,R
2/13/2020,R
2/4/2020,R
2/5/2020,P
2/6/2020,R
2/10/2020,R
2/10/2020,P
2/8/2020,R
2/6/2020,R
2/6/2020,P
9/21/2019,P
12/22/2019,P
12/23/2019,P
1/15/2020,P
1/22/2020,P
1/8/2020,P
2/4/2020,P
2/1/2020,P
11/22/2019,R
2/4/2020,R
2/4/2020,P
11/17/2019,R
2/4/2020,R
2/3/2020,P
1/22/2020,R
2/2/2020,P
1/31/2020,R
1/31/2020,R
12/26/2019,R
1/29/2020,R
11/7/2019,R
1/22/2020,R
11/24/2019,R
1/22/2020,R
1/22/2020,P
1/19/2020,R
1/19/2020,R
12/18/2019,R
1/17/2020,P
1/18/2020,R
1/8/2020,R
11/4/2019,P
1/17/2020,R
1/7/2020,R
1/16/2020,R
1/17/2020,R
11/30/2019,R
1/16/2020,R
1/7/2020,P
1/7/2020,R
1/8/2020,R
1/7/2020,P
12/31/2019,R
12/14/2019,P
12/30/2019,R
12/29/2019,R
12/23/2019,R
12/23/2019,R
12/20/2019,P
9/11/2018,R
10/19/2019,R
12/20/2019,R
10/30/2018,P
10/10/2019,R
12/19/2019,P
12/18/2019,R
12/16/2019,P
12/15/2019,P
7/14/2019,R
7/31/2018,R
12/13/2019,P
12/9/2019,P
12/13/2019,P
12/12/2019,R
12/10/2019,R
12/12/2019,P
9/10/2019,R
12/10/2019,P
11/21/2019,P
10/28/2019,R
